series,x,y
0,0,0.861
1,0,0.588
2,0,0.931
3,0,0.015
4,0,0.256
5,0,0.962
6,0,0.818
7,0,0.960
8,0,0.952
9,0,0.170
10,0,0.396
11,0,0.600
12,0,0.753
13,0,0.808
14,0,0.951
15,0,0.342
16,0,0.675
17,0,0.996
18,0,0.333
19,0,0.093
20,0,0.082
21,0,0.029
22,0,0.405
23,0,0.472
24,0,0.766
25,0,0.974
26,0,0.117
27,0,0.493
28,0,0.008
29,0,0.009
30,0,0.062
31,0,0.938
32,0,0.841
33,0,0.887
34,0,0.304
35,0,0.067
36,0,0.326
37,0,0.353
38,0,0.923
39,0,0.469
40,0,0.296
41,0,0.638
42,0,0.021
43,0,0.369
44,0,0.223
45,0,0.142
46,0,0.494
47,0,0.637
48,0,0.145
49,0,0.709
50,0,0.719
51,0,0.821
52,0,0.109
53,0,0.883
54,0,0.177
55,0,0.137
56,0,0.246
57,0,0.249
58,0,0.303
59,0,0.916
60,0,0.451
61,0,0.765
62,0,0.450
63,0,0.473
64,0,0.163
65,0,0.635
66,0,0.462
67,0,0.754
68,0,0.088
69,0,0.735
70,0,0.110
71,0,0.204
72,0,0.231
73,0,0.606
74,0,0.596
75,0,0.045
76,0,0.716
77,0,0.095
78,0,0.599
79,0,0.651
80,0,0.258
81,0,0.599
82,0,0.510
83,0,0.770
84,0,0.713
85,0,0.157
86,0,0.833
87,0,0.261
88,0,0.500
89,0,0.511
90,0,0.423
91,0,0.083
92,0,0.183
93,0,0.330
94,0,0.083
95,0,0.147
96,0,0.777
97,0,0.308
98,0,0.803
99,0,0.593
0,1,0.192
1,1,0.508
2,1,1.820
3,1,0.096
4,1,1.077
5,1,1.756
6,1,1.777
7,1,0.618
8,1,0.707
9,1,0.571
10,1,1.324
11,1,0.059
12,1,1.595
13,1,0.277
14,1,0.890
15,1,1.031
16,1,0.710
17,1,1.148
18,1,0.170
19,1,0.602
20,1,0.725
21,1,0.118
22,1,0.593
23,1,0.058
24,1,0.982
25,1,1.033
26,1,0.979
27,1,0.886
28,1,0.727
29,1,0.077
30,1,0.425
31,1,1.302
32,1,0.111
33,1,1.303
34,1,0.449
35,1,0.692
36,1,0.446
37,1,0.019
38,1,1.200
39,1,0.253
40,1,0.100
41,1,1.053
42,1,0.510
43,1,0.061
44,1,0.768
45,1,1.131
46,1,0.335
47,1,1.302
48,1,1.030
49,1,1.060
50,1,0.591
51,1,0.093
52,1,0.877
53,1,0.176
54,1,0.730
55,1,0.214
56,1,0.483
57,1,0.004
58,1,0.270
59,1,0.264
60,1,0.328
61,1,0.367
62,1,0.260
63,1,0.952
64,1,0.247
65,1,1.382
66,1,0.143
67,1,0.615
68,1,0.530
69,1,1.039
70,1,0.630
71,1,0.046
72,1,0.198
73,1,1.071
74,1,0.910
75,1,0.074
76,1,0.630
77,1,0.058
78,1,0.576
79,1,0.016
80,1,0.585
81,1,0.871
82,1,0.418
83,1,0.876
84,1,1.551
85,1,0.722
86,1,1.173
87,1,0.180
88,1,0.178
89,1,0.855
90,1,1.295
91,1,0.206
92,1,0.425
93,1,0.564
94,1,0.477
95,1,0.249
96,1,0.425
97,1,0.678
98,1,0.151
99,1,0.907
0,2,0.651
1,2,0.754
2,2,1.834
3,2,0.385
4,2,1.604
5,2,1.771
6,2,2.644
7,2,0.820
8,2,0.908
9,2,0.191
10,2,2.155
11,2,0.649
12,2,1.692
13,2,0.908
14,2,1.585
15,2,1.720
16,2,1.334
17,2,1.812
18,2,0.496
19,2,0.163
20,2,1.621
21,2,0.960
22,2,1.246
23,2,1.055
24,2,0.696
25,2,1.008
26,2,1.404
27,2,0.923
28,2,1.717
29,2,0.341
30,2,0.995
31,2,1.408
32,2,0.742
33,2,1.955
34,2,1.141
35,2,0.325
36,2,0.898
37,2,0.914
38,2,1.634
39,2,0.303
40,2,0.532
41,2,0.289
42,2,0.109
43,2,0.243
44,2,1.004
45,2,0.417
46,2,0.523
47,2,1.299
48,2,1.497
49,2,0.304
50,2,1.476
51,2,0.020
52,2,0.081
53,2,0.111
54,2,1.609
55,2,0.565
56,2,0.073
57,2,0.095
58,2,0.722
59,2,0.354
60,2,0.305
61,2,0.145
62,2,0.478
63,2,1.098
64,2,0.650
65,2,1.616
66,2,0.711
67,2,0.179
68,2,0.772
69,2,1.597
70,2,0.259
71,2,0.251
72,2,1.019
73,2,0.752
74,2,1.894
75,2,0.599
76,2,0.025
77,2,0.376
78,2,1.505
79,2,0.022
80,2,0.299
81,2,0.821
82,2,0.190
83,2,1.830
84,2,2.140
85,2,1.469
86,2,1.669
87,2,0.726
88,2,0.645
89,2,1.634
90,2,0.530
91,2,1.163
92,2,0.263
93,2,1.168
94,2,1.071
95,2,0.285
96,2,0.226
97,2,0.073
98,2,0.200
99,2,0.019
0,3,0.012
1,3,0.226
2,3,1.355
3,3,0.789
4,3,1.718
5,3,1.165
6,3,2.812
7,3,0.657
8,3,1.030
9,3,0.348
10,3,1.252
11,3,1.307
12,3,1.792
13,3,0.003
14,3,1.145
15,3,1.178
16,3,0.469
17,3,1.043
18,3,0.160
19,3,0.649
20,3,0.693
21,3,0.252
22,3,0.261
23,3,0.801
24,3,1.532
25,3,0.385
26,3,1.839
27,3,0.952
